Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,scouting_report
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,1999.0,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,Scouting Report for Abdel Abqar. Team: Alavés. Position: DF. Age: 25.0. Nation: ma MAR. Matches Played: 29. Minutes: 2463. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.9. Expected Assists (xAG): 0.3. Progressive Carries: 16. Progressive Passes: 79. 
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26.0,1997.0,28,12,1183,13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,8,26,69,0.23,0.3,0.53,0.15,0.46,0.54,0.16,0.7,0.41,0.58,Scouting Report for Tammy Abraham. Team: Milan. Position: FW. Age: 26.0. Nation: eng ENG. Matches Played: 28. Minutes: 1183. Goals: 3. Assists: 4. Non-Penalty xG (npxG): 5.4. Expected Assists (xAG): 2.2. Progressive Carries: 8. Progressive Passes: 26. 
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,1988.0,23,20,1710,19.0,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1.0,19,62,22,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.05,0.02,0.05,Scouting Report for Francesco Acerbi. Team: Inter. Position: DF. Age: 36.0. Nation: it ITA. Matches Played: 23. Minutes: 1710. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.4. Expected Assists (xAG): 0.6. Progressive Carries: 19. Progressive Passes: 62. 
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24.0,2000.0,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,Scouting Report for Akor Adams. Team: Montpellier. Position: FW. Age: 24.0. Nation: ng NGA. Matches Played: 15. Minutes: 1075. Goals: 3. Assists: 1. Non-Penalty xG (npxG): 4.3. Expected Assists (xAG): 1.0. Progressive Carries: 11. Progressive Passes: 6. 
25,Che Adams,sct SCO,FW,Torino,it Serie A,28.0,1996.0,36,30,2652,29.5,9,3,12,9,0,1,2,0,9.0,8.2,2.0,10.2,23,40,153,0.31,0.1,0.41,0.31,0.41,0.31,0.07,0.37,0.28,0.35,Scouting Report for Che Adams. Team: Torino. Position: FW. Age: 28.0. Nation: sct SCO. Matches Played: 36. Minutes: 2652. Goals: 9. Assists: 3. Non-Penalty xG (npxG): 8.2. Expected Assists (xAG): 2.0. Progressive Carries: 23. Progressive Passes: 40. 
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25.0,1999.0,28,21,1965,21.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.6,14,76,10,0.0,0.14,0.14,0.0,0.14,0.07,0.05,0.12,0.07,0.12,Scouting Report for Tyler Adams. Team: Bournemouth. Position: MF. Age: 25.0. Nation: us USA. Matches Played: 28. Minutes: 1965. Goals: 0. Assists: 3. Non-Penalty xG (npxG): 1.6. Expected Assists (xAG): 1.0. Progressive Carries: 14. Progressive Passes: 76. 
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,2001.0,25,19,1545,17.2,2,2,4,2,0,0,5,1,5.5,5.5,2.4,7.9,8,14,84,0.12,0.12,0.23,0.12,0.23,0.32,0.14,0.46,0.32,0.46,Scouting Report for Junior Adamu. Team: Freiburg. Position: FW. Age: 23.0. Nation: at AUT. Matches Played: 25. Minutes: 1545. Goals: 2. Assists: 2. Non-Penalty xG (npxG): 5.5. Expected Assists (xAG): 2.4. Progressive Carries: 8. Progressive Passes: 14. 
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26.0,1997.0,22,15,1409,15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,Scouting Report for Tosin Adarabioyo. Team: Chelsea. Position: DF. Age: 26.0. Nation: eng ENG. Matches Played: 22. Minutes: 1409. Goals: 1. Assists: 1. Non-Penalty xG (npxG): 0.9. Expected Assists (xAG): 0.2. Progressive Carries: 5. Progressive Passes: 42. 
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22.0,2002.0,25,17,1433,15.9,7,6,13,7,0,0,4,0,5.5,5.5,6.0,11.5,68,28,153,0.44,0.38,0.82,0.44,0.82,0.34,0.38,0.72,0.34,0.72,"Scouting Report for Karim Adeyemi. Team: Dortmund. Position: FW,MF. Age: 22.0. Nation: de GER. Matches Played: 25. Minutes: 1433. Goals: 7. Assists: 6. Non-Penalty xG (npxG): 5.5. Expected Assists (xAG): 6.0. Progressive Carries: 68. Progressive Passes: 28. "
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22.0,2002.0,29,12,1097,12.2,2,2,4,2,0,0,0,0,2.5,2.5,2.5,4.9,50,18,136,0.16,0.16,0.33,0.16,0.33,0.2,0.2,0.4,0.2,0.4,"Scouting Report for Simon Adingra. Team: Brighton. Position: FW,MF. Age: 22.0. Nation: ci CIV. Matches Played: 29. Minutes: 1097. Goals: 2. Assists: 2. Non-Penalty xG (npxG): 2.5. Expected Assists (xAG): 2.5. Progressive Carries: 50. Progressive Passes: 18. "
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24.0,2000.0,20,6,766,8.5,2,0,2,2,0,0,3,0,2.7,2.7,0.7,3.4,37,24,100,0.23,0.0,0.23,0.23,0.23,0.32,0.08,0.4,0.32,0.4,"Scouting Report for Amine Adli. Team: Leverkusen. Position: MF,FW. Age: 24.0. Nation: ma MAR. Matches Played: 20. Minutes: 766. Goals: 2. Assists: 0. Non-Penalty xG (npxG): 2.7. Expected Assists (xAG): 0.7. Progressive Carries: 37. Progressive Passes: 24. "
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,2000.0,26,15,1234,13.7,4,6,10,4,0,0,3,1,1.0,1.0,2.4,3.4,24,103,30,0.29,0.44,0.73,0.29,0.73,0.08,0.17,0.25,0.08,0.25,Scouting Report for Yacine Adli. Team: Fiorentina. Position: MF. Age: 24.0. Nation: fr FRA. Matches Played: 26. Minutes: 1234. Goals: 4. Assists: 6. Non-Penalty xG (npxG): 1.0. Expected Assists (xAG): 2.4. Progressive Carries: 24. Progressive Passes: 103. 
34,Adrián,es ESP,GK,Betis,es La Liga,37.0,1987.0,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scouting Report for Adrián. Team: Betis. Position: GK. Age: 37.0. Nation: es ESP. Matches Played: 19. Minutes: 1710. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.0. Progressive Carries: 0. Progressive Passes: 0. 
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27.0,1997.0,14,9,724,8.0,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,8,33,17,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Scouting Report for Michel Aebischer. Team: Bologna. Position: MF. Age: 27.0. Nation: ch SUI. Matches Played: 14. Minutes: 724. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.4. Expected Assists (xAG): 0.4. Progressive Carries: 8. Progressive Passes: 33. 
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26.0,1998.0,32,17,1639,18.2,3,1,4,3,0,0,3,0,3.1,3.1,3.8,7.0,53,32,108,0.16,0.05,0.22,0.16,0.22,0.17,0.21,0.38,0.17,0.38,"Scouting Report for Oladapo Afolayan. Team: St. Pauli. Position: FW,MF. Age: 26.0. Nation: eng ENG. Matches Played: 32. Minutes: 1639. Goals: 3. Assists: 1. Non-Penalty xG (npxG): 3.1. Expected Assists (xAG): 3.8. Progressive Carries: 53. Progressive Passes: 32. "
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27.0,1997.0,16,16,1410,15.7,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,31,2,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,Scouting Report for Emmanuel Agbadou. Team: Wolves. Position: DF. Age: 27.0. Nation: ci CIV. Matches Played: 16. Minutes: 1410. Goals: 1. Assists: 0. Non-Penalty xG (npxG): 0.8. Expected Assists (xAG): 0.2. Progressive Carries: 6. Progressive Passes: 31. 
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27.0,1997.0,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Scouting Report for Emmanuel Agbadou. Team: Reims. Position: DF. Age: 27.0. Nation: ci CIV. Matches Played: 14. Minutes: 1260. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.5. Expected Assists (xAG): 0.3. Progressive Carries: 10. Progressive Passes: 77. 
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18.0,2005.0,8,1,300,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.2,0.9,13,6,36,0.3,0.0,0.3,0.3,0.3,0.21,0.06,0.26,0.21,0.26,"Scouting Report for Jeremy Agbonifo. Team: Lens. Position: FW,MF. Age: 18.0. Nation: se SWE. Matches Played: 8. Minutes: 300. Goals: 1. Assists: 0. Non-Penalty xG (npxG): 0.7. Expected Assists (xAG): 0.2. Progressive Carries: 13. Progressive Passes: 6. "
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23.0,2000.0,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scouting Report for Julen Agirrezabala. Team: Athletic Club. Position: GK. Age: 23.0. Nation: es ESP. Matches Played: 14. Minutes: 1206. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.0. Progressive Carries: 0. Progressive Passes: 0. 
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22.0,2002.0,35,24,2114,23.5,1,3,4,1,0,0,5,1,0.9,0.9,2.5,3.3,29,135,23,0.04,0.13,0.17,0.04,0.17,0.04,0.11,0.14,0.04,0.14,Scouting Report for Lucien Agoume. Team: Sevilla. Position: MF. Age: 22.0. Nation: fr FRA. Matches Played: 35. Minutes: 2114. Goals: 1. Assists: 3. Non-Penalty xG (npxG): 0.9. Expected Assists (xAG): 2.5. Progressive Carries: 29. Progressive Passes: 135. 
45,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24.0,1999.0,22,21,1751,19.5,3,0,3,3,0,0,1,0,1.4,1.4,1.8,3.2,33,43,105,0.15,0.0,0.15,0.15,0.15,0.07,0.09,0.17,0.07,0.17,Scouting Report for Felix Agu. Team: Werder Bremen. Position: DF. Age: 24.0. Nation: ng NGA. Matches Played: 22. Minutes: 1751. Goals: 3. Assists: 0. Non-Penalty xG (npxG): 1.4. Expected Assists (xAG): 1.8. Progressive Carries: 33. Progressive Passes: 43. 
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28.0,1996.0,16,4,443,4.9,0,1,1,0,0,0,3,0,0.6,0.6,0.6,1.2,15,37,4,0.0,0.2,0.2,0.0,0.2,0.12,0.12,0.24,0.12,0.24,Scouting Report for Álvaro Aguado. Team: Espanyol. Position: MF. Age: 28.0. Nation: es ESP. Matches Played: 16. Minutes: 443. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.6. Expected Assists (xAG): 0.6. Progressive Carries: 15. Progressive Passes: 37. 
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28.0,1996.0,21,21,1760,19.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,26,75,1,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.13,0.12,0.13,Scouting Report for Nayef Aguerd. Team: Real Sociedad. Position: DF. Age: 28.0. Nation: ma MAR. Matches Played: 21. Minutes: 1760. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 2.4. Expected Assists (xAG): 0.1. Progressive Carries: 26. Progressive Passes: 75. 
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,31.0,1993.0,16,13,1124,12.5,1,2,3,1,0,0,4,0,0.8,0.8,1.9,2.7,32,74,101,0.08,0.16,0.24,0.08,0.24,0.06,0.15,0.21,0.06,0.21,"Scouting Report for Ruben Aguilar. Team: Lens. Position: DF,MF. Age: 31.0. Nation: fr FRA. Matches Played: 16. Minutes: 1124. Goals: 1. Assists: 2. Non-Penalty xG (npxG): 0.8. Expected Assists (xAG): 1.9. Progressive Carries: 32. Progressive Passes: 74. "
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16.0,2008.0,6,3,270,3.0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,3,3,7,0.0,0.0,0.0,0.0,0.0,0.17,0.04,0.21,0.17,0.21,"Scouting Report for Honest Ahanor. Team: Genoa. Position: DF,MF. Age: 16.0. Nation: it ITA. Matches Played: 6. Minutes: 270. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.5. Expected Assists (xAG): 0.1. Progressive Carries: 3. Progressive Passes: 3. "
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30.0,1994.0,26,26,1959,21.8,2,0,2,2,0,0,7,0,1.8,1.8,1.0,2.8,15,68,16,0.09,0.0,0.09,0.09,0.09,0.08,0.05,0.13,0.08,0.13,Scouting Report for Jean-Eudes Aholou. Team: Angers. Position: MF. Age: 30.0. Nation: ci CIV. Matches Played: 26. Minutes: 1959. Goals: 2. Assists: 0. Non-Penalty xG (npxG): 1.8. Expected Assists (xAG): 1.0. Progressive Carries: 15. Progressive Passes: 68. 
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28.0,1995.0,8,6,583,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,14,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Scouting Report for Joseph Aidoo. Team: Valladolid. Position: DF. Age: 28.0. Nation: gh GHA. Matches Played: 8. Minutes: 583. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.0. Progressive Carries: 1. Progressive Passes: 14. 
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27.0,1996.0,35,35,2995,33.3,2,1,3,2,0,0,5,0,0.6,0.6,1.4,2.1,67,107,67,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06,Scouting Report for Ola Aina. Team: Nott'ham Forest. Position: DF. Age: 27.0. Nation: ng NGA. Matches Played: 35. Minutes: 2995. Goals: 2. Assists: 1. Non-Penalty xG (npxG): 0.6. Expected Assists (xAG): 1.4. Progressive Carries: 67. Progressive Passes: 107. 
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23.0,2001.0,37,37,3109,34.5,4,7,11,4,0,0,7,1,2.7,2.7,5.5,8.2,89,108,176,0.12,0.2,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24,Scouting Report for Rayan Aït-Nouri. Team: Wolves. Position: DF. Age: 23.0. Nation: dz ALG. Matches Played: 37. Minutes: 3109. Goals: 4. Assists: 7. Non-Penalty xG (npxG): 2.7. Expected Assists (xAG): 5.5. Progressive Carries: 89. Progressive Passes: 108. 
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26.0,1998.0,24,17,1438,16.0,0,0,0,0,0,0,5,0,1.0,1.0,1.2,2.2,27,56,44,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,Scouting Report for Kristoffer Ajer. Team: Brentford. Position: DF. Age: 26.0. Nation: no NOR. Matches Played: 24. Minutes: 1438. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 1.0. Expected Assists (xAG): 1.2. Progressive Carries: 27. Progressive Passes: 56. 
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30.0,1994.0,31,29,2495,27.7,13,2,15,13,0,1,5,0,10.4,9.6,3.1,12.7,10,41,124,0.47,0.07,0.54,0.47,0.54,0.38,0.11,0.49,0.35,0.46,Scouting Report for Ludovic Ajorque. Team: Brest. Position: FW. Age: 30.0. Nation: fr FRA. Matches Played: 31. Minutes: 2495. Goals: 13. Assists: 2. Non-Penalty xG (npxG): 9.6. Expected Assists (xAG): 3.1. Progressive Carries: 10. Progressive Passes: 41. 
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29.0,1995.0,26,23,2014,22.4,0,0,0,0,0,0,3,0,1.6,1.6,0.4,1.9,46,158,7,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Scouting Report for Manuel Akanji. Team: Manchester City. Position: DF. Age: 29.0. Nation: ch SUI. Matches Played: 26. Minutes: 2014. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 1.6. Expected Assists (xAG): 0.4. Progressive Carries: 46. Progressive Passes: 158. 
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20.0,2003.0,9,6,500,5.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,4,29,9,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,Scouting Report for Ümit Akdag. Team: Toulouse. Position: DF. Age: 20.0. Nation: ro ROU. Matches Played: 9. Minutes: 500. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.1. Expected Assists (xAG): 0.1. Progressive Carries: 4. Progressive Passes: 29. 
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29.0,1995.0,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Scouting Report for Nathan Aké. Team: Manchester City. Position: DF. Age: 29.0. Nation: nl NED. Matches Played: 10. Minutes: 678. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.2. Expected Assists (xAG): 0.0. Progressive Carries: 12. Progressive Passes: 50. 
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20.0,2004.0,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.0,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23,"Scouting Report for Ilias Akhomach. Team: Villarreal. Position: MF,FW. Age: 20.0. Nation: ma MAR. Matches Played: 11. Minutes: 584. Goals: 1. Assists: 0. Non-Penalty xG (npxG): 0.6. Expected Assists (xAG): 1.0. Progressive Carries: 30. Progressive Passes: 12. "
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26.0,1997.0,30,29,2523,28.0,2,3,5,2,0,0,5,0,1.5,1.5,2.5,4.0,55,86,97,0.07,0.11,0.18,0.07,0.18,0.05,0.09,0.14,0.05,0.14,Scouting Report for Sergio Akieme. Team: Reims. Position: DF. Age: 26.0. Nation: es ESP. Matches Played: 30. Minutes: 2523. Goals: 2. Assists: 3. Non-Penalty xG (npxG): 1.5. Expected Assists (xAG): 2.5. Progressive Carries: 55. Progressive Passes: 86. 
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22.0,2002.0,32,27,2406,26.7,5,10,15,4,1,1,2,0,9.2,8.4,7.3,15.7,127,173,226,0.19,0.37,0.56,0.15,0.52,0.35,0.27,0.62,0.32,0.59,"Scouting Report for Maghnes Akliouche. Team: Monaco. Position: FW,MF. Age: 22.0. Nation: fr FRA. Matches Played: 32. Minutes: 2406. Goals: 5. Assists: 10. Non-Penalty xG (npxG): 8.4. Expected Assists (xAG): 7.3. Progressive Carries: 127. Progressive Passes: 173. "
69,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22.0,2001.0,31,29,2486,27.6,0,1,1,0,0,0,7,0,0.3,0.3,0.9,1.2,27,74,24,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.04,0.01,0.04,Scouting Report for Clément Akpa. Team: Auxerre. Position: DF. Age: 22.0. Nation: ci CIV. Matches Played: 31. Minutes: 2486. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.3. Expected Assists (xAG): 0.9. Progressive Carries: 27. Progressive Passes: 74. 
70,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31.0,1992.0,14,12,966,10.7,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.6,21,19,22,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Scouting Report for Jean-Daniel Akpa-Akpro. Team: Monza. Position: MF. Age: 31.0. Nation: ci CIV. Matches Played: 14. Minutes: 966. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.3. Expected Assists (xAG): 0.2. Progressive Carries: 21. Progressive Passes: 19. 
72,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29.0,1995.0,32,23,2220,24.7,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,14,98,16,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,Scouting Report for Kevin Akpoguma. Team: Hoffenheim. Position: DF. Age: 29.0. Nation: ng NGA. Matches Played: 32. Minutes: 2220. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.1. Expected Assists (xAG): 0.3. Progressive Carries: 14. Progressive Passes: 98. 
